,Results,PlayerStartingTrophies,OpponentStartingTrophies,PlayerMaxTrophies,OpponentMaxTrophies,PlayerKingTowers,OpponentKingTowers
652,0,4618,4621,5839,5353,13,12
653,1,4618,4621,5839,5353,13,12
654,1,4336,2498,5068,3311,10,8
655,1,4336,2498,5068,3311,10,8
656,1,4336,2409,5068,3311,10,8
657,1,4368,2324,5068,3311,10,8
658,0,4368,2324,5068,3311,10,8
659,1,4368,2324,5068,3311,10,8
660,1,4368,2324,5068,3311,10,8
661,1,4368,2324,5068,3311,10,8
662,0,4556,4183,4719,5142,10,11
